id_vente,nombre,poids,CA,nom,mois,nom_site,remise,profit,canal,mode_paiement,percentage_CB,percentage_Esp̬ces,percentage_Ch̬que,percentage_Virement,percentage_Cryptomonnaie
213432,49892,1019,202642,Carambar,janv-00,Cassis_H,7.999730398,60792.6,Click & Collect,CB,51.25,25,12.5,7.5,3.75
213433,50190,1038,202498,Carambar,janv-01,Cassis_H,5.655442764,60749.4,Click & Collect,CB,61.16,19.92,9.96,5.98,2.99
213434,50001,1050,203901,Carambar,janv-00,Roubaix_H,7.978299317,61170.3,Physique,CB,83.83,8.29,4.14,2.49,1.24
213435,49922,999,201510,Carambar,janv-01,Roubaix_H,7.212089848,60453,Livraison,Esp̬ces,40.81,54.35,2.55,1.53,0.77
213436,50011,1002,202018,Carambar,janv-08,Bron_H,5.840974313,60605.4,Drive,CB,51.49,24.88,12.44,7.46,3.73
213437,49969,1014,202424,Carambar,janv-08,Cassis_E,10.07488752,60727.2,Vente en gros,CB,75.27,12.68,6.34,3.8,1.9
213438,49934,997,202663,Carambar,janv-08,Cassis_H,14.65854276,60798.9,Physique,CB,59.94,20.54,10.27,6.16,3.08
213439,42495.75,518.56,201865,Carambar,juin-11,Bastille_E,6.882820711,60559.5,Click & Collect,CB,77.25,11.67,5.83,3.5,1.75
213440,49788,1035,201812,Carambar,Sep-03,Bastille_E,12.82698635,60543.6,Physique,CB,79.46,10.53,5.27,3.16,1.58
213441,49861,1006,203171,Carambar,Oct-03,Bastille_E,6.573224163,60951.3,Click & Collect,Esp̬ces,44.4,50.32,2.78,1.67,0.83
213442,50035,1039,201998,Guimauve,janv-00,La_pause_bonbon,17.65041106,60599.4,Click & Collect,Esp̬ces,13.49,84.91,0.84,0.51,0.25
213443,50071,941,202620,Guimauve,janv-01,La_pause_bonbon,12.86678858,60786,Click & Collect,CB,57.77,21.65,10.83,6.5,3.25
213444,50032,1015,200975,Carambar,janv-02,Bron_H,12.32135994,60292.5,Click & Collect,Virement,27.5,3.44,1.72,66.83,0.52
213445,49969,969,202837,Carambar,avr-05,Bastille_E,18.3579149,60851.1,Drive,CB,54.84,23.16,11.58,6.95,3.47
213446,50093,1037,203053,Carambar,mai-05,Bastille_E,5.43686814,60915.9,Physique,Esp̬ces,17.71,80.19,1.11,0.66,0.33
213447,50108,1078,202405,Carambar,Sep-05,Bastille_E,16.54943257,60721.5,Physique,Esp̬ces,12.08,86.49,0.75,0.45,0.23
213448,49969,1105,201684,Carambar,Oct-05,Bastille_E,7.883761743,60505.2,Click & Collect,CB,98.66,0.69,0.34,0.21,0.1
213449,49934,966,202178,Carambar,janv-03,Bron_H,9.471859044,60653.4,Livraison,CB,77.6,11.49,5.74,3.45,1.72
213450,50084,958,201809,Carambar,janv-04,Bron_H,7.964424232,60542.7,Click & Collect,Esp̬ces,17.05,80.93,1.07,0.64,0.32
213451,50091,977,201779,Carambar,janv-05,Bron_H,5.317785139,60533.7,Physique,Esp̬ces,18.89,78.87,1.18,0.71,0.35
213452,50188,1042,202863,Carambar,avr-06,Bastille_E,11.16185087,60858.9,Physique,CB,52.29,24.47,12.23,7.34,3.67
213453,50048,1030,202674,Carambar,mai-06,Bastille_E,12.71158898,60802.2,Physique,CB,64.47,18.22,9.11,5.47,2.73
213454,50025,1011,202296,Carambar,janv-06,Bron_H,11.58020816,60688.8,Physique,CB,61.64,19.67,9.84,5.9,2.95
213455,50033,1051,202328,Carambar,janv-07,Bron_H,9.80893233,60698.4,Vente en gros,CB,63.9,18.51,9.26,5.55,2.78
213456,42692.1,638.48,201671,Carambar,janv-11,Bron_H,12.45855908,60501.3,Livraison,CB,68.24,16.29,8.14,4.89,2.44
213457,42552.7,643.25,201994,Carambar,juin-11,Bron_H,11.176358,60598.2,Physique,CB,60.48,20.27,10.13,6.08,3.04
213458,35069.3,641.09,202179,Carambar,janv-12,Bron_H,12.21639846,60653.7,Physique,CB,96.83,1.62,0.81,0.49,0.24
213459,27435.1,605.58,200739,Carambar,janv-13,Bron_H,18.63609122,60221.7,Livraison,CB,80.46,10.02,5.01,3.01,1.5
213460,19922.4,639.74,202345,Carambar,janv-14,Bron_H,19.68414563,60703.5,Vente en gros,CB,86.46,6.95,3.47,2.08,1.04
213461,49968,983,203241,Dragibus,janv-08,Bron_H,16.26720792,60972.3,Physique,CB,68.97,15.91,7.96,4.77,2.39
213462,34928.6,557.04,202857,Carambar,juin-12,Bron_H,14.57843498,60857.1,Drive,Cryptomonnaie,14.69,1.84,0.92,0.55,82
213463,27483.5,722.52,202673,Carambar,juin-13,Bron_H,7.361443304,60801.9,Livraison,CB,84.23,8.09,4.04,2.43,1.21
213464,19996.4,693.72,202206,Carambar,juin-14,Bron_H,18.89703332,60661.8,Vente en gros,Esp̬ces,10.01,88.8,0.63,0.38,0.19
213465,49898,988,201784,Dragibus,janv-08,Cassis_H,7.147788606,60535.2,Drive,CB,51.61,24.82,12.41,7.45,3.72
213466,50035,1025,202924,Dragibus,janv-08,Roubaix_H,16.46210784,60877.2,Click & Collect,CB,63.39,18.78,9.39,5.63,2.82
213467,50051,992,202210,Dragibus,janv-08,La_pause_bonbon,19.12820929,60663,Click & Collect,CB,97.15,1.46,0.73,0.44,0.22
213468,49957,1035,201605,Arlequin,janv-08,Bron_H,10.63219056,60481.5,Livraison,Esp̬ces,30.63,65.73,1.91,1.15,0.57
213469,50262,965,201983,Arlequin,janv-08,Roubaix_H,11.92760068,60594.9,Vente en gros,CB,69.78,15.5,7.75,4.65,2.32
213470,50165,1000,201743,Carambar,janv-04,Cassis_E,9.114621107,60522.9,Click & Collect,Ch̬que,22.91,2.86,72.94,0.86,0.43
213471,50031,1022,202347,Carambar,janv-05,Cassis_E,13.79853134,60704.1,Physique,CB,62.33,19.32,9.66,5.8,2.9
213472,42604.55,546.22,203005,Carambar,avr-11,Bastille_E,9.263217315,60901.5,Physique,CB,63.14,18.9,9.45,5.67,2.84
213473,42684.45,726.85,202742,Carambar,mai-11,Bastille_E,9.130839766,60822.6,Physique,CB,94.89,2.62,1.31,0.79,0.39
213474,49844,1011,202637,Arlequin,janv-08,La_pause_bonbon,10.79406436,60791.1,Physique,CB,60.97,20.02,10.01,6.01,3
213475,49987,1022,203076,Carambar,janv-08,Neuilly_Sup,12.36558388,60922.8,Drive,Cryptomonnaie,20.02,2.5,1.25,0.75,75.48
213476,27463.15,666.75,202880,Carambar,Sep-13,Bastille_E,11.59970033,60864,Physique,CB,52.36,24.43,12.22,7.33,3.66
213477,27446.1,523.77,201396,Carambar,Oct-13,Bastille_E,12.57598667,60418.8,Click & Collect,CB,81.37,9.55,4.78,2.87,1.43
213478,19987.6,638.28,202527,Carambar,avr-14,Bastille_E,15.61449896,60758.1,Physique,CB,71.11,14.82,7.41,4.44,2.22
213479,19988.8,548.9,202464,Carambar,mai-14,Bastille_E,14.56343364,60739.2,Physique,CB,69.08,15.86,7.93,4.76,2.38
213480,20036.4,507.07,202089,Carambar,Sep-14,Bastille_E,5.134943185,60626.7,Physique,Cryptomonnaie,19.22,2.4,1.2,0.72,76.46
213481,19961.6,484.14,201052,Carambar,Oct-14,Bastille_E,19.47775554,60315.6,Drive,Virement,5.77,0.72,0.36,93.04,0.11
213482,50013,1021,202067,Carambar,Nov-02,Bron_H,16.63738179,60620.1,Physique,CB,86.04,7.16,3.58,2.15,1.07
213483,49935,982,201938,Carambar,Nov-03,Bron_H,18.1738691,60581.4,Livraison,CB,76.85,11.87,5.94,3.56,1.78
213484,49956,1079,200822,Dragibus,janv-01,Bron_H,11.49671412,60246.6,Livraison,CB,82.05,9.21,4.6,2.76,1.38
